"St.no","TAM","month","year","month.human","scaled.temp","scaled"
99710,-4.6,4,2008,"April",0,0.17885957691229
99710,-6.4,4,2009,"April",0,-0.51567828579431
99710,-2,4,2010,"April",0,1.18208093415516
99710,0.7,4,2011,"April",0,2.22388772821506
99710,-4,4,2012,"April",0,0.41037219781449
99710,-3.9,4,2013,"April",0,0.448957634631523
99710,-3.9,4,2014,"April",0,0.448957634631523
99710,-1.9,4,2015,"April",0,1.22066637097219
99710,0.6,5,1920,"May",0,1.19540120335959
99710,-0.6,5,1921,"May",0,0.376185149659265
99710,-0.7,5,1922,"May",0,0.307917145184238
99710,-1.7,5,1923,"May",0,-0.374762899566035
99710,-2.1,5,1924,"May",0,-0.647834917466145
99710,-2.4,5,1925,"May",0,-0.852638930891226
99710,-3.4,5,1926,"May",0,-1.5353189756415
99710,-3.1,5,1927,"May",0,-1.33051496221642
99710,-2.6,5,1928,"May",0,-0.989174939841281
99710,-3.2,5,1929,"May",0,-1.39878296669144
99710,-0.5,5,1930,"May",0,0.444453154134292
99710,-1.9,5,1931,"May",0,-0.51129890851609
99710,-3.1,5,1932,"May",0,-1.33051496221642
99710,-1.1,5,1933,"May",0,0.0348451272841285
99710,-0.3,5,1934,"May",0,0.580989163084347
99710,-3,5,1935,"May",0,-1.26224695774139
99710,1.6,5,1936,"May",0,1.87808124810987
99710,0.8,5,1937,"May",0,1.33193721230965
99710,-1.1,5,1938,"May",0,0.0348451272841285
99710,-0.5,5,1939,"May",0,0.444453154134292
99710,0.7,5,1940,"May",0,1.26366920783462
99710,-3.7,5,1941,"May",0,-1.74012298906658
99710,-4.3,5,1942,"May",0,-2.14973101591674
99710,-1.8,5,1943,"May",0,-0.443030904041063
99710,-2.2,5,1944,"May",0,-0.716102921941172
99710,-1.7,5,1945,"May",0,-0.374762899566035
99710,-1.4,5,1946,"May",0,-0.169958886140953
99710,-1.8,5,1947,"May",0,-0.443030904041063
99710,-2.2,5,1948,"May",0,-0.716102921941172
99710,-2.7,5,1949,"May",0,-1.05744294431631
99710,-1.4,5,1950,"May",0,-0.169958886140953
99710,-2.5,5,1951,"May",0,-0.920906935366254
99710,-1.5,5,1952,"May",0,-0.238226890615981
99710,-1.9,5,1953,"May",0,-0.51129890851609
99710,0.7,5,1954,"May",0,1.26366920783462
99710,-1.7,5,1955,"May",0,-0.374762899566035
99710,-0.9,5,1956,"May",0,0.171381136234183
99710,-1.1,5,1957,"May",0,0.0348451272841285
99710,-0.4,5,1958,"May",0,0.51272115860932
99710,-0.5,5,1959,"May",0,0.444453154134292
99710,1.8,5,1960,"May",0,2.01461725705992
99710,-1.9,5,1961,"May",0,-0.51129890851609
99710,-5.8,5,1962,"May",0,-3.17375108304215
99710,0.1,5,1963,"May",0,0.854061180984456
99710,0.4,5,1964,"May",0,1.05886519440954
99710,-3.2,5,1965,"May",0,-1.39878296669144
99710,-3.6,5,1966,"May",0,-1.67185498459155
99710,-2,5,1967,"May",0,-0.579566912991117
99710,-3.8,5,1968,"May",0,-1.80839099354161
99710,-1.2,5,1969,"May",0,-0.0334228771908987
99710,-0.3,5,1970,"May",0,0.580989163084347
99710,-1.3,5,1971,"May",0,-0.101690881665926
99710,-0.9,5,1972,"May",0,0.171381136234183
99710,-0.6,5,1973,"May",0,0.376185149659265
99710,-0.5,5,1974,"May",0,0.444453154134292
99710,-1.1,5,1975,"May",0,0.0348451272841285
99710,0.1,5,1976,"May",0,0.854061180984456
99710,-2.1,5,1977,"May",0,-0.647834917466145
99710,-1.4,5,1978,"May",0,-0.169958886140953
99710,-3.5,5,1979,"May",0,-1.60358698011653
99710,-1.5,5,1980,"May",0,-0.238226890615981
99710,-1.2,5,1981,"May",0,-0.0334228771908987
99710,-2.1,5,1982,"May",0,-0.647834917466145
99710,-0.6,5,1983,"May",0,0.376185149659265
99710,-0.3,5,1984,"May",0,0.580989163084347
99710,-1.6,5,1985,"May",0,-0.306494895091008
99710,-0.2,5,1986,"May",0,0.649257167559374
99710,-1.1,5,1987,"May",0,0.0348451272841285
99710,-1.3,5,1988,"May",0,-0.101690881665926
99710,0,5,1989,"May",0,0.785793176509429
99710,-0.8,5,1990,"May",0,0.23964914070921
99710,-1.1,5,1991,"May",0,0.0348451272841285
99710,0.6,5,1992,"May",0,1.19540120335959
99710,-1.9,5,1993,"May",0,-0.51129890851609
99710,-0.9,5,1994,"May",0,0.171381136234183
99710,-1.2,5,1995,"May",0,-0.0334228771908987
99710,-3.9,5,1996,"May",0,-1.87665899801664
99710,-2.2,5,1997,"May",0,-0.716102921941172
99710,-1.8,5,1998,"May",0,-0.443030904041063
99710,0.1,5,1999,"May",0,0.854061180984456
99710,-0.5,5,2001,"May",0,0.444453154134292
99710,-0.3,5,2002,"May",0,0.580989163084347
