"St.no","TAM","month","year","scaled.temp","month.human","scaled"
99710,-3.7,5,1941,0,"May",-1.74012298906658
99710,-4.3,5,1942,0,"May",-2.14973101591674
99710,-1.8,5,1943,0,"May",-0.443030904041063
99710,-2.2,5,1944,0,"May",-0.716102921941172
99710,-1.7,5,1945,0,"May",-0.374762899566035
99710,-1.4,5,1946,0,"May",-0.169958886140953
99710,-1.8,5,1947,0,"May",-0.443030904041063
99710,-2.2,5,1948,0,"May",-0.716102921941172
99710,-2.7,5,1949,0,"May",-1.05744294431631
99710,-1.4,5,1950,0,"May",-0.169958886140953
99710,-2.5,5,1951,0,"May",-0.920906935366254
99710,-1.5,5,1952,0,"May",-0.238226890615981
99710,-1.9,5,1953,0,"May",-0.51129890851609
99710,0.7,5,1954,0,"May",1.26366920783462
99710,-1.7,5,1955,0,"May",-0.374762899566035
99710,-0.9,5,1956,0,"May",0.171381136234183
99710,-1.1,5,1957,0,"May",0.0348451272841285
99710,-0.4,5,1958,0,"May",0.51272115860932
99710,-0.5,5,1959,0,"May",0.444453154134292
99710,1.8,5,1960,0,"May",2.01461725705992
99710,-1.9,5,1961,0,"May",-0.51129890851609
99710,-5.8,5,1962,0,"May",-3.17375108304215
99710,0.1,5,1963,0,"May",0.854061180984456
99710,0.4,5,1964,0,"May",1.05886519440954
99710,-3.2,5,1965,0,"May",-1.39878296669144
99710,-3.6,5,1966,0,"May",-1.67185498459155
99710,-2,5,1967,0,"May",-0.579566912991117
99710,-3.8,5,1968,0,"May",-1.80839099354161
99710,-1.2,5,1969,0,"May",-0.0334228771908987
99710,-0.3,5,1970,0,"May",0.580989163084347
99710,-1.3,5,1971,0,"May",-0.101690881665926
99710,-0.9,5,1972,0,"May",0.171381136234183
99710,-0.6,5,1973,0,"May",0.376185149659265
99710,-0.5,5,1974,0,"May",0.444453154134292
99710,-1.1,5,1975,0,"May",0.0348451272841285
99710,0.1,5,1976,0,"May",0.854061180984456
99710,-2.1,5,1977,0,"May",-0.647834917466145
99710,-1.4,5,1978,0,"May",-0.169958886140953
99710,-3.5,5,1979,0,"May",-1.60358698011653
99710,-1.5,5,1980,0,"May",-0.238226890615981
99710,-1.2,5,1981,0,"May",-0.0334228771908987
99710,-2.1,5,1982,0,"May",-0.647834917466145
99710,-0.6,5,1983,0,"May",0.376185149659265
99710,-0.3,5,1984,0,"May",0.580989163084347
99710,-1.6,5,1985,0,"May",-0.306494895091008
99710,-0.2,5,1986,0,"May",0.649257167559374
99710,-1.1,5,1987,0,"May",0.0348451272841285
99710,-1.3,5,1988,0,"May",-0.101690881665926
99710,0,5,1989,0,"May",0.785793176509429
99710,-0.8,5,1990,0,"May",0.23964914070921
99710,-1.1,5,1991,0,"May",0.0348451272841285
99710,0.6,5,1992,0,"May",1.19540120335959
99710,-1.9,5,1993,0,"May",-0.51129890851609
99710,-0.9,5,1994,0,"May",0.171381136234183
99710,-1.2,5,1995,0,"May",-0.0334228771908987
99710,-3.9,5,1996,0,"May",-1.87665899801664
99710,-2.2,5,1997,0,"May",-0.716102921941172
99710,-1.8,5,1998,0,"May",-0.443030904041063
99710,0.1,5,1999,0,"May",0.854061180984456
99710,-0.5,5,2001,0,"May",0.444453154134292
99710,-0.3,5,2002,0,"May",0.580989163084347
99710,-1.7,5,2003,0,"May",-0.374762899566035
99710,0.6,5,2004,0,"May",1.19540120335959
99710,-0.2,5,2005,0,"May",0.649257167559374
99710,1.8,5,2006,0,"May",2.01461725705992
99710,0.2,5,2007,0,"May",0.922329185459484
99710,0.2,5,2008,0,"May",0.922329185459484
99710,1.6,5,2009,0,"May",1.87808124810987
99710,1.8,5,2010,0,"May",2.01461725705992
99710,0.3,5,2011,0,"May",0.990597189934511
99710,0.3,5,2012,0,"May",0.990597189934511
99710,1.7,5,2013,0,"May",1.94634925258489
99710,-0.8,5,2014,0,"May",0.23964914070921
99710,-0.7,5,2015,0,"May",0.307917145184238
99710,3.3,6,1920,0,"June",0.892804257284356
99710,3.4,6,1921,0,"June",0.970019760617058
99710,4.1,6,1922,0,"June",1.51052828394596
99710,0.5,6,1923,0,"June",-1.26922983603127
99710,-0.3,6,1924,0,"June",-1.88695386269288
99710,3.1,6,1925,0,"June",0.738373250618954
99710,1,6,1926,0,"June",-0.883152319367769
99710,0.7,6,1927,0,"June",-1.11479882936587
